Time,CForce,BForce,AForce,DForce
0,0.50021189,-0.034483046,-0.020772919,-0.103033678
0.01,0.507274682,-0.034483046,-0.020772919,-0.095970886
0.02,0.507274682,-0.034483046,-0.007062792,-0.089323552
0.03,0.507274682,-0.04113038,-0.013710127,-0.089323552
0.04,0.507274682,-0.034483046,-0.013710127,-0.089323552
0.05,0.507274682,-0.04113038,-0.007062792,-0.089323552
0.06,0.507274682,-0.04113038,-0.013710127,-0.089323552
0.07,0.507274682,-0.048193172,-0.007062792,-0.095970886
0.08,0.507274682,-0.048193172,-0.020772919,-0.089323552
0.09,0.507274682,-0.048193172,-0.007062792,-0.089323552
0.1,0.507274682,-0.048193172,-0.013710127,-0.095970886
0.11,0.513922016,-0.048193172,-0.013710127,-0.103033678
0.12,0.520984809,-0.04113038,-0.013710127,-0.109681012
0.13,0.520984809,-0.054840506,-0.007062792,-0.109681012
0.14,0.513922016,-0.048193172,-0.007062792,-0.109681012
0.15,0.534694935,-0.061903299,-0.007062792,-0.103033678
0.16,0.520984809,-0.054840506,-0.007062792,-0.103033678
0.17,0.520984809,-0.054840506,-0.007062792,-0.095970886
0.18,0.534694935,-0.048193172,-0.007062792,-0.103033678
0.19,0.534694935,-0.048193172,-0.007062792,-0.116743805
0.2,0.527632143,-0.04113038,-0.013710127,-0.103033678
0.21,0.534694935,-0.04113038,-0.013710127,-0.109681012
0.22,0.534694935,-0.04113038,-0.013710127,-0.103033678
0.23,0.534694935,-0.048193172,-0.013710127,-0.095970886
0.24,0.527632143,-0.048193172,-0.013710127,-0.095970886
0.25,0.527632143,-0.04113038,-0.013710127,-0.095970886
0.26,0.527632143,-0.04113038,-0.013710127,-0.103033678
0.27,0.527632143,-0.04113038,-0.013710127,-0.103033678
0.28,0.520984809,-0.04113038,-0.007062792,-0.103033678
0.29,0.520984809,-0.04113038,-0.007062792,-0.109681012
0.3,0.520984809,-0.04113038,-0.007062792,-0.109681012
0.31,0.520984809,-0.04113038,-0.007062792,-0.103033678
0.32,0.513922016,-0.04113038,-0.007062792,-0.109681012
0.33,0.513922016,-0.034483046,-0.007062792,-0.103033678
0.34,0.507274682,-0.034483046,-0.007062792,-0.103033678
0.35,0.507274682,-0.034483046,-0.020772919,-0.109681012
0.36,0.50021189,-0.034483046,-0.013710127,-0.109681012
0.37,0.507274682,-0.04113038,-0.013710127,-0.103033678
0.38,0.50021189,-0.04113038,-0.013710127,-0.095970886
0.39,0.50021189,-0.048193172,-0.007062792,-0.089323552
0.4,0.50021189,-0.04113038,-0.013710127,-0.095970886
0.41,0.493564556,-0.04113038,-0.013710127,-0.095970886
0.42,0.507274682,-0.034483046,-0.013710127,-0.095970886
0.43,0.507274682,-0.034483046,-0.013710127,-0.089323552
0.44,0.50021189,-0.034483046,-0.020772919,-0.095970886
0.45,0.507274682,-0.04113038,-0.007062792,-0.095970886
0.46,0.50021189,-0.034483046,-0.013710127,-0.089323552
0.47,0.507274682,-0.034483046,-0.013710127,-0.089323552
0.48,0.507274682,-0.04113038,-0.007062792,-0.103033678
0.49,0.507274682,-0.04113038,-0.007062792,-0.103033678
0.5,0.507274682,-0.04113038,-0.013710127,-0.095970886
0.51,0.513922016,-0.04113038,-0.013710127,-0.103033678
0.52,0.513922016,-0.04113038,-0.013710127,-0.103033678
0.53,0.513922016,-0.034483046,-0.007062792,-0.103033678
0.54,0.513922016,-0.04113038,-0.013710127,-0.109681012
0.55,0.520984809,-0.04113038,-0.007062792,-0.116743805
0.56,0.520984809,-0.04113038,-0.013710127,-0.116743805
0.57,0.513922016,-0.034483046,-0.007062792,-0.123391139
0.58,0.520984809,-0.034483046,-0.007062792,-0.116743805
0.59,0.520984809,-0.04113038,-0.007062792,-0.109681012
0.6,0.520984809,-0.04113038,-0.007062792,-0.109681012
0.61,0.520984809,-0.04113038,-0.013710127,-0.109681012
0.62,0.527632143,-0.04113038,-0.007062792,-0.103033678
0.63,0.520984809,-0.04113038,-0.013710127,-0.103033678
0.64,0.520984809,-0.04113038,-0.013710127,-0.095970886
0.65,0.520984809,-0.04113038,-0.007062792,-0.103033678
0.66,0.520984809,-0.04113038,-0.013710127,-0.095970886
0.67,0.520984809,-0.04113038,-0.013710127,-0.095970886
0.68,0.527632143,-0.04113038,-0.007062792,-0.095970886
0.69,0.513922016,-0.04113038,-0.013710127,-0.103033678
0.7,0.513922016,-0.04113038,-0.013710127,-0.103033678
0.71,0.513922016,-0.04113038,-0.013710127,-0.103033678
0.72,0.513922016,-0.04113038,-0.013710127,-0.103033678
0.73,0.513922016,-0.04113038,-0.007062792,-0.103033678
0.74,0.513922016,-0.048193172,-0.007062792,-0.109681012
0.75,0.507274682,-0.034483046,-0.007062792,-0.109681012
0.76,0.507274682,-0.04113038,-0.007062792,-0.109681012
0.77,0.507274682,-0.04113038,-0.013710127,-0.109681012
0.78,0.507274682,-0.04113038,-0.007062792,-0.109681012
0.79,0.513922016,-0.04113038,-0.013710127,-0.109681012
0.8,0.513922016,-0.048193172,-0.007062792,-0.103033678
0.81,0.507274682,-0.04113038,-0.013710127,-0.103033678
0.82,0.50021189,-0.04113038,-0.007062792,-0.103033678
0.83,0.50021189,-0.04113038,-0.013710127,-0.103033678
0.84,0.50021189,-0.04113038,0,-0.095970886
0.85,0.507274682,-0.04113038,-0.013710127,-0.095970886
0.86,0.513922016,-0.04113038,-0.013710127,-0.103033678
0.87,0.527632143,-0.04113038,-0.013710127,-0.095970886
0.88,0.527632143,-0.04113038,-0.007062792,-0.103033678
0.89,0.527632143,-0.04113038,-0.007062792,-0.095970886
0.9,0.520984809,-0.04113038,-0.007062792,-0.103033678
0.91,0.513922016,-0.04113038,-0.013710127,-0.109681012
0.92,0.527632143,-0.04113038,-0.013710127,-0.109681012
0.93,0.513922016,-0.04113038,-0.013710127,-0.109681012
0.94,0.520984809,-0.04113038,-0.013710127,-0.103033678
0.95,0.520984809,-0.048193172,-0.007062792,-0.109681012
0.96,0.527632143,-0.034483046,-0.007062792,-0.103033678
0.97,0.527632143,-0.04113038,-0.013710127,-0.103033678
0.98,0.534694935,-0.04113038,-0.007062792,-0.103033678
0.99,0.527632143,-0.04113038,-0.013710127,-0.103033678
1,0.527632143,-0.04113038,-0.007062792,-0.095970886
1.01,0.527632143,-0.04113038,-0.007062792,-0.089323552
1.02,0.520984809,-0.048193172,-0.013710127,-0.089323552
1.03,0.520984809,-0.048193172,-0.013710127,-0.089323552
1.04,0.527632143,-0.048193172,-0.007062792,-0.089323552
1.05,0.520984809,-0.04113038,-0.013710127,-0.095970886
1.06,0.520984809,-0.04113038,-0.013710127,-0.095970886
1.07,0.520984809,-0.04113038,-0.013710127,-0.095970886
1.08,0.520984809,-0.04113038,-0.007062792,-0.103033678
1.09,0.520984809,-0.048193172,-0.013710127,-0.103033678
1.1,0.520984809,-0.034483046,-0.013710127,-0.103033678
1.11,0.527632143,-0.034483046,-0.020772919,-0.103033678
1.12,0.513922016,-0.034483046,-0.013710127,-0.103033678
1.13,0.513922016,-0.04113038,-0.013710127,-0.103033678
1.14,0.507274682,-0.034483046,-0.013710127,-0.109681012
1.15,0.50021189,-0.048193172,-0.013710127,-0.103033678
1.16,0.50021189,-0.04113038,-0.007062792,-0.103033678
1.17,0.50021189,-0.04113038,-0.007062792,-0.103033678
1.18,0.50021189,-0.04113038,-0.007062792,-0.103033678
1.19,0.50021189,-0.034483046,-0.013710127,-0.103033678
1.2,0.50021189,-0.04113038,-0.020772919,-0.109681012
1.21,0.50021189,-0.04113038,-0.007062792,-0.103033678
1.22,0.507274682,-0.04113038,-0.013710127,-0.103033678
1.23,0.507274682,-0.034483046,-0.013710127,-0.109681012
1.24,0.507274682,-0.04113038,-0.007062792,-0.103033678
1.25,0.507274682,-0.048193172,-0.013710127,-0.103033678
