"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.462610800E-2,-1.415199995E0,-1.809259987E1,-5.291139984E1,5.593711822E1
2.462635300E-2,-4.574999809E0,-1.909300041E1,-5.457059860E1,5.799503013E1
3.461048300E-2,-2.110599995E0,-1.756799889E1,-5.493659973E1,5.771584884E1
4.462610800E-2,-1.988600016E0,-1.745820045E1,-5.493659973E1,5.767818724E1
5.462610800E-2,-3.098799944E0,-1.692140007E1,-5.479019928E1,5.742736524E1
6.462659700E-2,-2.586400032E0,-1.636019897E1,-5.316759872E1,5.568787238E1
7.462659700E-2,-4.123600006E0,-1.599419975E1,-5.438759995E1,5.684038644E1
8.462659700E-2,-4.623799801E0,-1.540859985E1,-5.399720001E1,5.634271988E1
9.461072800E-2,-4.574999809E0,-1.432279968E1,-5.411919785E1,5.616903764E1
1.046261080E-1,-6.453799725E0,-1.387139988E1,-5.458279800E1,5.668641022E1
1.146263530E-1,-1.002839947E1,-1.395679951E1,-6.390359879E1,6.617424715E1
1.246265970E-1,-8.393599510E0,-1.226099968E1,-5.446080017E1,5.645142497E1
1.346261080E-1,-9.406199455E0,-1.019919968E1,-5.560759735E1,5.731234723E1
1.446270850E-1,-1.049199963E1,-8.845000267E0,-5.596139908E1,5.761939146E1
1.546263530E-1,-1.118739986E1,-8.222800255E0,-5.465599823E1,5.639193650E1
1.646263530E-1,-1.194379997E1,-7.039400101E0,-5.575399780E1,5.745185622E1
1.746261080E-1,-1.309060001E1,-6.404999733E0,-5.575399780E1,5.762721667E1
1.846263530E-1,-1.393239975E1,-5.648600101E0,-5.504639816E1,5.706246048E1
1.946263530E-1,-1.483519936E1,-5.209399700E0,-5.504639816E1,5.724794263E1
2.046258640E-1,-1.468879986E1,-4.172399998E0,-5.470479965E1,5.679599341E1
2.146261080E-1,-1.568919945E1,-4.026000023E0,-5.477799988E1,5.712257808E1
2.246263530E-1,-1.648220062E1,-4.050399780E0,-5.399720001E1,5.660182228E1
2.346263530E-1,-1.689699936E1,-3.647799969E0,-5.570520020E1,5.832567497E1
2.446107280E-1,-1.711660004E1,-3.440399885E0,-5.515620041E1,5.785344235E1
2.546146340E-1,-1.704339981E1,-3.355000019E0,-5.396059799E1,5.668756158E1
2.646121920E-1,-1.670179939E1,-3.098799944E0,-5.382640076E1,5.644319341E1
2.746129250E-1,-1.632359886E1,-2.866999865E0,-5.443639755E1,5.690343528E1
2.846134130E-1,-1.649440002E1,-3.257400036E0,-5.319199753E1,5.578588072E1
2.946107280E-1,-1.633580017E1,-2.830399990E0,-5.303339767E1,5.556447426E1
3.046126810E-1,-1.592099953E1,-2.769399881E0,-5.326519775E1,5.566263642E1
3.146265970E-1,-1.585999966E1,-2.622999907E0,-5.317979813E1,5.555637359E1
3.246261080E-1,-1.838539886E1,-3.098799944E0,-5.543679810E1,5.848815295E1
3.346261080E-1,-1.676280022E1,-2.488800049E0,-5.452179718E1,5.709476302E1
3.446263530E-1,-1.543299961E1,-2.013000011E0,-5.386299896E1,5.606649894E1
3.546263530E-1,-1.655539894E1,-1.842199922E0,-5.515620041E1,5.761667622E1
3.646268410E-1,-1.537199974E1,-1.366400003E0,-5.398500061E1,5.614753526E1
3.746258640E-1,-1.812919998E1,-1.622599959E0,-5.592479706E1,5.881227464E1
3.846261080E-1,-1.525000000E1,-5.001999736E-1,-5.436319733E1,5.646388158E1
3.946261080E-1,-1.507919979E1,-6.344000101E-1,-5.310659790E1,5.520955959E1
4.046263530E-1,-1.528660011E1,-3.903999925E-1,-5.418019867E1,5.629677152E1
4.146261080E-1,-1.489620018E1,-4.147999883E-1,-5.439979935E1,5.640396270E1
4.246114600E-1,-1.564039993E1,-4.147999883E-1,-5.491219711E1,5.709766686E1
4.346261080E-1,-1.496939945E1,-7.075999975E-1,-5.381419754E1,5.586189645E1
4.446265970E-1,-1.439599991E1,-1.219999976E-2,-5.544899750E1,5.728731348E1
4.546263530E-1,-1.451799965E1,2.805999815E-1,-5.327739716E1,5.522075785E1
4.646261080E-1,-1.461559963E1,1.061399937E0,-5.433879852E1,5.628007949E1
4.746263530E-1,-1.378599930E1,1.524999976E0,-5.402159882E1,5.577376211E1
4.846258640E-1,-1.468879986E1,2.086199999E0,-5.524160004E1,5.719919096E1
4.946263530E-1,-1.482299995E1,2.269199848E0,-5.411919785E1,5.615833127E1
5.046258640E-1,-1.355420017E1,2.537600040E0,-5.321640015E1,5.497400295E1
5.146344090E-1,-1.449359989E1,2.537600040E0,-5.409479904E1,5.606024559E1
5.246263530E-1,-1.392019939E1,2.525399923E0,-5.405820084E1,5.587878554E1
5.346261080E-1,-1.471319962E1,2.378999949E0,-5.444860077E1,5.645164311E1
5.446114600E-1,-1.583559990E1,1.659199953E0,-5.391180038E1,5.621388965E1
5.546114600E-1,-1.654319954E1,9.515999556E-1,-5.511959839E1,5.755652109E1
5.646124370E-1,-1.560379982E1,1.634799957E0,-5.396059799E1,5.619517128E1
5.746119480E-1,-1.500599957E1,1.878799915E0,-5.332619858E1,5.542917433E1
5.846029150E-1,-1.581120014E1,1.805599928E0,-5.448519897E1,5.676170495E1
5.946366070E-1,-1.540859985E1,1.781199932E0,-5.426559830E1,5.643892966E1
6.046258640E-1,-1.610400009E1,1.793399930E0,-5.369219971E1,5.608393185E1
6.146258640E-1,-1.527439976E1,2.757200003E0,-5.358239746E1,5.578514818E1
6.246265970E-1,-1.664080048E1,2.635200024E0,-5.422900009E1,5.678595751E1
6.346261080E-1,-1.556719971E1,3.208600044E0,-5.461940002E1,5.688507432E1
6.446265970E-1,-1.661639977E1,3.086599827E0,-5.550999832E1,5.802578524E1
6.546263530E-1,-1.657979965E1,3.818599939E0,-5.317979813E1,5.583513581E1
6.646265970E-1,-1.604299927E1,3.525799990E0,-5.125219727E1,5.382004102E1
6.746263530E-1,-1.707999992E1,2.732800007E0,-5.209399796E1,5.489061137E1
6.846261080E-1,-1.639679909E1,3.623399973E0,-5.103260040E1,5.372439252E1
6.946265970E-1,-1.582339954E1,3.611199856E0,-5.077639771E1,5.330725374E1
7.046261080E-1,-1.627479935E1,3.379400015E0,-5.159379959E1,5.420525431E1
7.146268410E-1,-1.588439941E1,3.537999868E0,-5.142300034E1,5.393659751E1
7.246263530E-1,-1.660420036E1,3.110999823E0,-5.161819839E1,5.431221037E1
7.346258640E-1,-1.607959938E1,3.452600002E0,-5.167919922E1,5.423295672E1
7.446263530E-1,-1.714099884E1,3.086599827E0,-5.250880051E1,5.532192215E1
7.546265970E-1,-1.595759964E1,3.501399994E0,-5.089839935E1,5.345607398E1
7.646268410E-1,-1.756799889E1,3.220799923E0,-5.220380020E1,5.517467619E1
7.746258640E-1,-1.614060020E1,3.306200027E0,-5.187439728E1,5.442796181E1
7.846263530E-1,-1.686039925E1,3.452600002E0,-5.283819962E1,5.557039543E1
7.946263530E-1,-1.643339920E1,3.123199940E0,-5.147179794E1,5.412168669E1
8.046265970E-1,-1.604299927E1,3.171999931E0,-5.203299713E1,5.454238902E1
8.146258640E-1,-1.626259995E1,3.123199940E0,-5.132539749E1,5.393072373E1
8.246261080E-1,-1.548180008E1,2.659600019E0,-5.166699982E1,5.400220807E1
8.346261080E-1,-1.665299988E1,2.488800049E0,-5.332619858E1,5.592137324E1
8.446265970E-1,-1.557940006E1,2.366800070E0,-5.163039780E1,5.398163971E1
8.546131690E-1,-1.812919998E1,6.953999996E-1,-5.210619736E1,5.517433530E1
8.646270850E-1,-1.606739998E1,1.488399982E0,-5.198419952E1,5.443099923E1
8.746265970E-1,-1.542079926E1,1.622599959E0,-5.120339966E1,5.349973847E1
8.846261080E-1,-1.604299927E1,8.783999681E-1,-5.227700043E1,5.469034819E1
8.946261080E-1,-1.556719971E1,1.183400035E0,-5.125219727E1,5.357728872E1
9.046258640E-1,-1.729960060E1,3.537999988E-1,-5.280159760E1,5.556446764E1
9.146265970E-1,-1.623819923E1,4.879999906E-2,-5.181340027E1,5.429834199E1
9.246261080E-1,-1.559159946E1,-6.099999696E-2,-5.087400055E1,5.320963848E1
9.346258640E-1,-1.573799992E1,-1.097999960E-1,-5.209399796E1,5.441949394E1
9.446265970E-1,-1.551839924E1,-1.464000046E-1,-5.245999908E1,5.470734550E1
9.546265970E-1,-1.775099945E1,-1.305400014E0,-5.330179977E1,5.619505236E1
9.646268410E-1,-1.583559990E1,-1.012599945E0,-5.255759811E1,5.490075320E1
9.746261080E-1,-1.590880013E1,-1.732399940E0,-5.220380020E1,5.460153740E1
9.846261080E-1,-1.517679977E1,-1.915399909E0,-5.241119766E1,5.459796378E1
9.946265970E-1,-1.525000000E1,-2.537600040E0,-5.455839920E1,5.670644441E1
1.004626108E0,-1.577460003E1,-2.769399881E0,-5.366779709E1,5.600660699E1
1.014621714E0,-1.609179878E1,-2.195999861E0,-5.636399841E1,5.865721371E1
1.024612192E0,-1.609179878E1,-2.195999861E0,-5.636399841E1,5.865721371E1
1.034602671E0,-1.472539997E1,-2.452199936E0,-5.466819763E1,5.666976726E1
1.044611948E0,-1.542079926E1,-2.025199890E0,-5.731559753E1,5.938838443E1
1.054612681E0,-1.542079926E1,-1.866599917E0,-5.464379883E1,5.680871408E1
1.064612681E0,-1.612839890E1,-1.366400003E0,-5.471699905E1,5.706086474E1
1.074611704E0,-1.604299927E1,-1.634799957E0,-5.409479904E1,5.644730002E1
1.084612681E0,-1.695800018E1,-2.147199869E0,-5.453400040E1,5.715016568E1
1.094611704E0,-1.701899910E1,-2.037400007E0,-5.489999771E1,5.751353821E1
1.104612925E0,-1.666519928E1,-2.635200024E0,-5.479019928E1,5.732921666E1
1.114611704E0,-1.689699936E1,-3.110999823E0,-5.463159943E1,5.726952561E1
1.124611460E0,-1.648220062E1,-3.623399973E0,-5.387519836E1,5.645643421E1
1.134611704E0,-1.686039925E1,-4.074800014E0,-5.527819824E1,5.793579428E1
1.144613657E0,-1.588439941E1,-4.111400127E0,-5.469260025E1,5.710077301E1
1.154612437E0,-1.755579948E1,-5.404599667E0,-5.666899872E1,5.957173163E1
1.164611704E0,-1.595759964E1,-4.574999809E0,-5.460720062E1,5.707470516E1
1.174612192E0,-1.554279995E1,-4.526199818E0,-5.472919846E1,5.707320106E1
1.184611216E0,-1.655539894E1,-4.501800060E0,-5.585160065E1,5.842729442E1
1.194612681E0,-1.575019932E1,-4.538399696E0,-5.575399780E1,5.811345904E1
1.204613169E0,-1.660420036E1,-4.648200035E0,-5.594919968E1,5.854586388E1
1.214610972E0,-1.582339954E1,-4.318799973E0,-5.538800049E1,5.776558322E1
1.224613169E0,-1.577460003E1,-4.001599789E0,-5.511959839E1,5.747191430E1
1.234612437E0,-1.632359886E1,-4.209000111E0,-5.662019730E1,5.907641072E1
1.244612437E0,-1.670179939E1,-4.611599922E0,-5.641279984E1,5.901373520E1
1.254612437E0,-1.634799957E1,-3.916199923E0,-5.582719803E1,5.830325678E1
1.264633433E0,-1.609179878E1,-3.867399931E0,-5.587599945E1,5.827546726E1
1.274616831E0,-1.747039986E1,-4.562799931E0,-5.585160065E1,5.869783053E1
1.284610728E0,-1.627479935E1,-4.770199776E0,-5.464379883E1,5.721510858E1
1.294626353E0,-1.605520058E1,-4.245599747E0,-5.383860016E1,5.634172033E1
1.304626108E0,-1.717759895E1,-4.904399872E0,-5.397279739E1,5.685231660E1
1.314636118E0,-1.584779930E1,-4.355400085E0,-5.387519836E1,5.632636373E1
1.324626108E0,-1.783639908E1,-5.160599709E0,-5.592479706E1,5.892666499E1
1.334626353E0,-1.560379982E1,-4.440799713E0,-5.303339767E1,5.545935935E1
1.344626597E0,-1.590880013E1,-4.806799889E0,-5.313100052E1,5.566954700E1
1.354626353E0,-1.587220001E1,-4.672599792E0,-5.359460068E1,5.609047284E1
1.364626597E0,-1.601860046E1,-5.416800022E0,-5.270399857E1,5.535023711E1
1.374626353E0,-1.769000053E1,-6.039000034E0,-5.460720062E1,5.771786552E1
1.384626597E0,-1.742160034E1,-6.673399925E0,-5.439979935E1,5.750986519E1
1.394627085E0,-1.571360016E1,-6.087800026E0,-5.324079895E1,5.584407947E1
1.404625864E0,-1.615279961E1,-6.221999645E0,-5.321640015E1,5.596080288E1
1.414610972E0,-1.571360016E1,-6.526999950E0,-5.357019806E1,5.620751799E1
1.424625864E0,-1.467659950E1,-6.087800026E0,-5.361899948E1,5.592370685E1
1.434626108E0,-1.799499893E1,-7.271199703E0,-5.549779892E1,5.879367327E1
1.444610483E0,-1.546959972E1,-6.734399796E0,-5.368000031E1,5.626902424E1
1.454626108E0,-1.603079987E1,-7.149199963E0,-5.383860016E1,5.662766525E1
1.464626353E0,-1.505480003E1,-6.246399879E0,-5.368000031E1,5.609997280E1
1.474626108E0,-1.604299927E1,-6.856400013E0,-5.293579865E1,5.573676367E1
1.484626597E0,-1.606739998E1,-6.612400055E0,-5.364339828E1,5.638704954E1
1.494626108E0,-1.477419949E1,-6.380599976E0,-5.347259903E1,5.584181116E1
1.504626841E0,-1.633580017E1,-6.844199657E0,-5.409479904E1,5.692054743E1
1.514638804E0,-1.494499969E1,-6.636799812E0,-5.357019806E1,5.601041196E1
1.524626108E0,-1.660420036E1,-7.319999695E0,-5.459499741E1,5.753169220E1
1.534626108E0,-1.402999973E1,-6.380599976E0,-5.306999969E1,5.526280681E1
